Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
NE,BA,VALENCA,AVENIDA ANTONIO CARLOS MAGALHAES,500,SÃO FELIX,45400000,DIESEL,5.59,BRANCA
NE,BA,VALENCA,AVENIDA ANTONIO CARLOS MAGALHAES,500,SÃO FELIX,45400000,DIESEL S10,5.69,BRANCA
NE,BA,VALENCA,AVENIDA ANTONIO CARLOS MAGALHAES,500,SÃO FELIX,45400000,ETANOL,4.27,BRANCA
NE,CE,ICO,AVENIDA MONSENHOR FROTA,673,NOVO CENTRO,63430000,GASOLINA,5.86,BRANCA
NE,CE,ICO,AVENIDA MONSENHOR FROTA,673,NOVO CENTRO,63430000,GASOLINA ADITIVADA,5.86,BRANCA
NE,CE,ICO,AVENIDA MONSENHOR FROTA,673,NOVO CENTRO,63430000,DIESEL,5.96,BRANCA
NE,CE,ICO,AVENIDA MONSENHOR FROTA,673,NOVO CENTRO,63430000,DIESEL S10,5.96,BRANCA
NE,CE,ICO,AVENIDA MONSENHOR FROTA,673,NOVO CENTRO,63430000,ETANOL,4.56,BRANCA
NE,CE,ICO,AVENIDA NOGUEIRA ACIOLY,1020,CENTRO,63430000,GASOLINA,5.99,BRANCA
NE,CE,ICO,AVENIDA NOGUEIRA ACIOLY,1020,CENTRO,63430000,GASOLINA ADITIVADA,6.05,BRANCA
NE,CE,ICO,AVENIDA NOGUEIRA ACIOLY,1020,CENTRO,63430000,DIESEL,6.49,BRANCA
NE,CE,ICO,AVENIDA NOGUEIRA ACIOLY,1020,CENTRO,63430000,DIESEL S10,6.49,BRANCA
NE,CE,ICO,AVENIDA NOGUEIRA ACIOLY,1020,CENTRO,63430000,ETANOL,4.85,BRANCA
NE,CE,ICO,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,CENTRO,63430000,GASOLINA,5.99,BRANCA
NE,CE,ICO,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,CENTRO,63430000,DIESEL,6.59,BRANCA
NE,CE,ICO,AVENIDA JOSEFA NOGUEIRA MONTEIRO,1681,CENTRO,63430000,DIESEL S10,6.59,BRANCA
NE,CE,FORTALEZA,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,ARACAPE,60765005,GNV,4.99,RAIZEN
NE,CE,FORTALEZA,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,ARACAPE,60765005,GASOLINA,5.99,RAIZEN
NE,CE,FORTALEZA,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,ARACAPE,60765005,GASOLINA ADITIVADA,6.17,RAIZEN
NE,CE,FORTALEZA,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,ARACAPE,60765005,DIESEL S10,5.87,RAIZEN
NE,CE,FORTALEZA,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,ARACAPE,60765005,ETANOL,4.09,RAIZEN
CO,DF,BRASILIA,QUADRA CSG 20 LOTE 03,SN,TAGUATINGA,72035520,GASOLINA,5.29,RAIZEN
CO,DF,BRASILIA,QUADRA CSG 20 LOTE 03,SN,TAGUATINGA,72035520,ETANOL,3.49,RAIZEN
CO,DF,BRASILIA,1A AVENIDA NORTE,45326,SAMAMBAIA,72307990,GASOLINA,5.49,VIBRA
CO,DF,BRASILIA,1A AVENIDA NORTE,45326,SAMAMBAIA,72307990,GASOLINA ADITIVADA,5.59,VIBRA
CO,DF,BRASILIA,1A AVENIDA NORTE,45326,SAMAMBAIA,72307990,DIESEL S10,6.09,VIBRA
CO,DF,BRASILIA,1A AVENIDA NORTE,45326,SAMAMBAIA,72307990,ETANOL,3.59,VIBRA
CO,DF,BRASILIA,ALAMEDA DOS EUCALIPTOS QDA 107 LOTE,15,TAGUATINGA,70310500,GASOLINA,5.24,IPIRANGA
CO,DF,BRASILIA,ALAMEDA DOS EUCALIPTOS QDA 107 LOTE,15,TAGUATINGA,70310500,GASOLINA ADITIVADA,5.34,IPIRANGA
CO,DF,BRASILIA,ALAMEDA DOS EUCALIPTOS QDA 107 LOTE,15,TAGUATINGA,70310500,DIESEL,5.89,IPIRANGA
CO,DF,BRASILIA,ALAMEDA DOS EUCALIPTOS QDA 107 LOTE,15,TAGUATINGA,70310500,ETANOL,3.69,IPIRANGA
CO,DF,BRASILIA, QI 07 LOTES 01 A 04,SN,TAGUATINGA,72135170,GASOLINA,5.25,BRANCA
CO,DF,BRASILIA, QI 07 LOTES 01 A 04,SN,TAGUATINGA,72135170,GASOLINA ADITIVADA,5.25,BRANCA
CO,DF,BRASILIA, QI 07 LOTES 01 A 04,SN,TAGUATINGA,72135170,DIESEL S10,5.58,BRANCA
CO,DF,BRASILIA, QI 07 LOTES 01 A 04,SN,TAGUATINGA,72135170,ETANOL,3.29,BRANCA
CO,DF,BRASILIA, QI 19 LOTES 02 E 04,SN,TAGUATINGA,72120190,GASOLINA,5.25,IPIRANGA
CO,DF,BRASILIA, QI 19 LOTES 02 E 04,SN,TAGUATINGA,72120190,GASOLINA ADITIVADA,5.45,IPIRANGA
CO,DF,BRASILIA, QI 19 LOTES 02 E 04,SN,TAGUATINGA,72120190,ETANOL,3.29,IPIRANGA
CO,DF,BRASILIA,SETOR HOTELEIRO AREA ESPECIAL PARA POSTOS,SN,TAGUATINGA CENTRO (TAGUATINGA),72011000,GASOLINA,5.19,RAIZEN
CO,DF,BRASILIA,SETOR HOTELEIRO AREA ESPECIAL PARA POSTOS,SN,TAGUATINGA CENTRO (TAGUATINGA),72011000,GASOLINA ADITIVADA,5.39,RAIZEN
CO,DF,BRASILIA,SETOR HOTELEIRO AREA ESPECIAL PARA POSTOS,SN,TAGUATINGA CENTRO (TAGUATINGA),72011000,DIESEL,5.63,RAIZEN
CO,DF,BRASILIA,SETOR HOTELEIRO AREA ESPECIAL PARA POSTOS,SN,TAGUATINGA CENTRO (TAGUATINGA),72011000,DIESEL S10,5.95,RAIZEN
CO,DF,BRASILIA,SETOR HOTELEIRO AREA ESPECIAL PARA POSTOS,SN,TAGUATINGA CENTRO (TAGUATINGA),72011000,ETANOL,3.59,RAIZEN
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,GNV,5.49,VIBRA
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,GASOLINA,5.99,VIBRA
SE,ES,COLATINA,RODOVIA GETHER LOPES DE FARIAS,2600,CARLOS GERMANO NAUMANN,29705390,GASOLINA ADITIVADA,6.19,VIBRA
